"firm_name","n_patents","ipc_main_code","ipc_main_desc","ipc_second_code","ipc_second_desc","addr_city_main","addr_dept_main.x","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main.y"
"'add-one'",1,"A62B","DEVICES",NA,NA,"Perigny",17,NA,NA,NA,NA,NA,NA
"'apollon solar'",9,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets",NA,NA,"Lyon",69,NA,NA,NA,NA,NA,NA
"'s.a.g.a.c.e.' services en administration, gestion et applications au conseil a l'environnement",1,"B09B","DISPOSAL OF SOLID WASTE",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"1/4 vin",4,"B65B","MACHINES",NA,NA,"Sollies Pont",83,NA,NA,NA,NA,NA,NA
"10-vins",1,"B01F","MIXING",NA,NA,"Nantes",44,NA,NA,NA,NA,NA,NA
"1st surgiconcept",2,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61L","e.g. G01N0033480000)","Tourcoing",59,NA,NA,NA,NA,NA,NA
"2 flg",2,"A43B","CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR","A43D","MACHINES","Saint Malo",35,NA,NA,NA,NA,NA,NA
"2bgas hydrogen",1,"F23D","BURNERS (generating combustion products of high pressure or high velocity F23R)",NA,NA,"Valenciennes",59,NA,NA,NA,NA,NA,NA
"2l solutions",1,"B25H","WORKSHOP EQUIPMENT",NA,NA,"Chauvigny",86,NA,NA,NA,NA,NA,NA
"2mi 'modeles et moules pour l'industrie'",1,"G01B","MEASURING LENGTH",NA,NA,"La Chabanne",33,NA,NA,NA,NA,NA,NA
"3 d minerals",1,"C04B","LIME; MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF",NA,NA,"Limoges",87,NA,NA,NA,NA,NA,NA
"3 s ortho",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Lyon",69,NA,NA,NA,NA,NA,NA
"321 perform",1,"A61G","TRANSPORT",NA,NA,"egat",66,NA,NA,NA,NA,NA,NA
"3d medical",4,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61F","e.g. G01N0033480000)","Marolles en Brie",94,NA,NA,NA,NA,NA,NA
"3d plus",11,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets","H02M","APPARATUS FOR CONVERSION BETWEEN AC AND AC, BETWEEN AC AND DC, OR BETWEEN DC AND DC, AND FOR USE WITH MAINS OR SIMILAR POWER SUPPLY SYSTEMS; CONVERSION OF DC OR AC INPUT POWER INTO SURGE OUTPUT POWER; CONTROL OR REGULATION THEREOF (conversion of current or voltage specially adapted for use in electronic time-pieces with no moving parts G04G0019020000; systems for regulating electric or magnetic variables in general, e.g. using transformers, reactors or choke coils, combination of such systems with static converters G05F; for digital computers G06F0001000000; transformers H01F; connection or control of one converter with regard to conjoint operation with a similar or other source of supply H02J; dynamo-electric converters H02K0047000000; controlling transformers, reactors or choke coils, control or regulation of electric motors, generators or dynamo-electric converters H02P; pulse generators H03K)","Buc",78,NA,NA,NA,NA,NA,NA
"3d-oxides",2,"B42D","BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH; MOVABLE-STRIP WRITING OR READING APPARATUS (book stands A47B; reading desks A47B0019000000; book rests A47B0023000000)","B65C","LABELLING OR TAGGING MACHINES","Saint Genis Pouilly",16,NA,NA,NA,NA,NA,NA
"3dceram",4,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Limoges",87,NA,NA,NA,NA,NA,NA
"3dis technologies",4,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets",NA,NA,"Labege",31,NA,NA,NA,NA,NA,NA
"3dkreaform",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Vaulx en Velin",69,NA,NA,NA,NA,NA,NA
"3dom",2,"A61M","DEVICES FOR INTRODUCING MEDIA INTO","A61Q","OR ONTO","Olby",63,NA,NA,NA,NA,NA,NA
"3gp innovation",4,"F21S","NON-PORTABLE LIGHTING DEVICES OR SYSTEMS THEREOF (burners F23D; electric aspects or elements","F21V","see section H","Chalons en Champagne",51,NA,NA,NA,NA,NA,NA
"3s ortho",5,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO","A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)","Lyon",69,NA,NA,NA,NA,NA,NA
"3x engineering",2,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Albert",98,NA,NA,NA,NA,NA,NA
"4d view solutions",2,"G01C","MEASURING DISTANCES","H04N","LEVELS OR BEARINGS; SURVEYING; NAVIGATION; GYROSCOPIC INSTRUMENTS; PHOTOGRAMMETRY OR VIDEOGRAMMETRY (measuring liquid level G01F)","Grenoble",38,NA,NA,NA,NA,NA,NA
"4d-virtualiz",1,"B25J","MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES (robotic devices for individually picking fruits",NA,NA,"Clermont Ferrand",63,NA,NA,NA,NA,NA,NA
"4g secure",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"4mc",1,"F16K","VALVES; TAPS; COCKS; ACTUATING-FLOATS; DEVICES FOR VENTING OR AERATING",NA,NA,"Sannois",95,NA,NA,NA,NA,NA,NA
"4nrj",5,"G01B","MEASURING LENGTH",NA,NA,"La Chaussee Saint Victor",41,NA,NA,NA,NA,NA,NA
"4p-pharma",2,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","C07D","HETEROCYCLIC COMPOUNDS (macromolecular compounds C08)","Lille",59,NA,NA,NA,NA,NA,NA
"6wind",2,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Montigny le Bretonneux",78,NA,NA,NA,NA,NA,NA
"7b+",2,"A42B","HATS; HEAD COVERINGS (headbands","A61F","head-scarves A41D0020000000","Annecy",74,NA,NA,NA,NA,NA,NA
"@health",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Trets",13,NA,NA,NA,NA,NA,NA
"a et a - mader",19,"C09D","COATING COMPOSITIONS","C08G","MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS (fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture C12P)","Lille",59,NA,NA,NA,NA,NA,NA
"a et l rondot",2,"B25J","MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES (robotic devices for individually picking fruits","C03B","vegetables","Champagne au Mont d Or",69,NA,NA,NA,NA,NA,NA
"a raymond et cie",8,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Grenoble",38,NA,NA,NA,NA,NA,NA
"a volute",1,"H03G","CONTROL OF AMPLIFICATION (impedance networks",NA,NA,"Villeneuve d Ascq",59,NA,NA,NA,NA,NA,NA
"a-nte",1,"B64B","LIGHTER-THAN-AIR AIRCRAFT (ground installations for aircraft in general B64F)",NA,NA,"Montrouge",92,NA,NA,NA,NA,NA,NA
"a. raymond et cie",77,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Grenoble",38,NA,NA,NA,NA,NA,NA
"a. raymond et cie-scs",2,"E05F","DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION; CHECKS FOR WINGS; WING FITTINGS NOT OTHERWISE PROVIDED FOR","H01Q","CONCERNED WITH THE FUNCTIONING OF THE WING","Grenoble",38,NA,NA,NA,NA,NA,NA
"a. raymond et cie.",3,"F16K","VALVES; TAPS; COCKS; ACTUATING-FLOATS; DEVICES FOR VENTING OR AERATING","F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES","Grenoble",38,NA,NA,NA,NA,NA,NA
"a. raymond et cie. scs",8,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Grenoble",38,NA,NA,NA,NA,NA,NA
"a.c.d.",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Rumilly",74,NA,NA,NA,NA,NA,NA
"a.l.n.",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Ghisonaccia",20,NA,NA,NA,NA,NA,NA
"a.m.d.p.",4,"B23K","SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY","B23B","TURNING; BORING (using an electrode which takes the place of a tool B23H, e.g. making holes B23H0009140000; working by laser beam B23K0026000000; arrangements for copying or controlling B23Q)","Croissy sur Seine",78,NA,NA,NA,NA,NA,NA
"a.p.c.a.",2,"C08L","COMPOSITIONS OF MACROMOLECULAR COMPOUNDS (compositions based on polymerisable monomers C08F","D04H","C08G; artificial filaments or fibres D01F; textile treating compositions D06)","Paris",75,NA,NA,NA,NA,NA,NA
"a.s.a. fermetures",2,"B65G","TRANSPORT OR STORAGE DEVICES",NA,NA,"Lescar",64,NA,NA,NA,NA,NA,NA
"aaf france",2,"B01D","SEPARATION (separating solids from solids by wet methods B03B",NA,NA,"Gasny",27,NA,NA,NA,NA,NA,NA
"aaton digital",1,"H01C","RESISTORS",NA,NA,"Verneuil sur Avre",27,NA,NA,NA,NA,NA,NA
"aaxces ingenierie",2,"B21K","MAKING FORGED OR PRESSED PRODUCTS","B60B","e.g. HORSE-SHOES","La Talaudiere",42,NA,NA,NA,NA,NA,NA
"ab medica",3,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Mery sur Cher",18,NA,NA,NA,NA,NA,NA
"ab science",22,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","C07D","HETEROCYCLIC COMPOUNDS (macromolecular compounds C08)","Paris",75,NA,NA,NA,NA,NA,NA
"ab7 industries",3,"C02F","TREATMENT OF WATER","B01D","SEPARATION (separating solids from solids by wet methods B03B, B03D, by pneumatic jigs or tables B03B, by other dry methods B07; magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields B03C; centrifuges B04B; presses per se for squeezing-out liquid from liquid-containing material B30B0009020000)","Deyme",31,NA,NA,NA,NA,NA,NA
"ab7 innovation",2,"A01K","ANIMAL HUSBANDRY; CARE OF BIRDS","A44B","FISHES","Deyme",31,NA,NA,NA,NA,NA,NA
"ab7 innovation s.a.s.u.",22,"A01N","PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23); BIOCIDES","A01K","ANIMAL HUSBANDRY; CARE OF BIRDS, FISHES, INSECTS; FISHING; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS","Deyme",31,NA,NA,NA,NA,NA,NA
"abad, isabelle",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Bargemon",83,NA,NA,NA,NA,NA,NA
"abate, pietro",1,"B65H","HANDLING THIN OR FILAMENTARY MATERIAL",NA,NA,"Saint etienne",42,NA,NA,NA,NA,NA,NA
"abb france",15,"H01H","ELECTRIC SWITCHES; RELAYS; SELECTORS; EMERGENCY PROTECTIVE DEVICES (contact cables H01B0007100000; electrolytic self-interrupters H01G0009180000; emergency protective circuit arrangements H02H; switching by electronic means without contact-making H03K0017000000)","H01R","ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS (switches, fuses H01H; coupling devices of the waveguide type H01P0005000000; switching arrangements for the supply or distribution of electric power H02B; installations of electric cables or lines, or of combined optical and electric cables or lines, or of auxiliary apparatus H02G; printed means for providing electric connections to or between printed circuits H05K)","Les Ulis",91,NA,NA,NA,NA,NA,NA
"abc membranes",3,"B01D","SEPARATION (separating solids from solids by wet methods B03B","C02F","TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE (processes for making harmful chemical substances harmless, or less harmful, by effecting a chemical change in the substances A62D0003000000; separation, settling tanks or filter devices  B01D; special arrangements on waterborne vessels of installations for treating water, waste water or sewage, e.g. for producing fresh water, B63J; adding materials to water to prevent corrosion C23F; treating radioactively-contaminated liquids G21F0009040000)","Donneville",31,NA,NA,NA,NA,NA,NA
"abcd innovation",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"abecassis, marc",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"abeeway",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Meylan",38,NA,NA,NA,NA,NA,NA
"abeilles sante",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Cauterets",65,NA,NA,NA,NA,NA,NA
"abel, helmut",3,"B62K","CYCLES; CYCLE FRAMES; CYCLE STEERING DEVICES; RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES; CYCLE AXLE SUSPENSIONS; CYCLE SIDECARS","B62B","HAND-PROPELLED VEHICLES, e.g. HAND CARTS OR PERAMBULATORS; SLEDGES (characterised by animal propulsion B62C; propulsion of sledges by driver or engine B62M)","Maisons Laffitte",78,NA,NA,NA,NA,NA,NA
"abensour, samy",1,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Antony",92,NA,NA,NA,NA,NA,NA
"abenz 81-40",1,"B01J","CHEMICAL OR PHYSICAL PROCESSES",NA,NA,"Geispolsheim",67,NA,NA,NA,NA,NA,NA
"abionyx pharma",2,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Balma",31,NA,NA,NA,NA,NA,NA
"abiotec",1,"A01M","CATCHING",NA,NA,"Le Plessis Robinson",92,NA,NA,NA,NA,NA,NA
"abisdid epouse razon, charlene",1,"C06C","DETONATING OR PRIMING DEVICES; FUSES; CHEMICAL LIGHTERS; PYROPHORIC COMPOSITIONS",NA,NA,"Marseille",13,NA,NA,NA,NA,NA,NA
"abisdid, charlotte",1,"C06C","DETONATING OR PRIMING DEVICES; FUSES; CHEMICAL LIGHTERS; PYROPHORIC COMPOSITIONS",NA,NA,"Marseille",13,NA,NA,NA,NA,NA,NA
"abisdid, marlene",1,"C06C","DETONATING OR PRIMING DEVICES; FUSES; CHEMICAL LIGHTERS; PYROPHORIC COMPOSITIONS",NA,NA,"Marseille",13,NA,NA,NA,NA,NA,NA
"abivax",37,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","C07D","HETEROCYCLIC COMPOUNDS (macromolecular compounds C08)","Paris",75,NA,NA,NA,NA,NA,NA
"abm solution",1,"A45B","WALKING STICKS (walking aids",NA,NA,"Chateau d Olonne",85,NA,NA,NA,NA,NA,NA
"abm technologies",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Alfortville",94,NA,NA,NA,NA,NA,NA
"abmi sud-est",1,"B60D","VEHICLE CONNECTIONS (components of brake systems B60T0017040000)",NA,NA,"Guyancourt",78,NA,NA,NA,NA,NA,NA
"abou taam, salam",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"aboudi, habib",1,"E05D","HINGES OR OTHER SUSPENSION DEVICES FOR DOORS",NA,NA,"Charly",69,NA,NA,NA,NA,NA,NA
"abp - aquilina bouvier pool",1,"B01D","SEPARATION (separating solids from solids by wet methods B03B",NA,NA,"Albon",26,NA,NA,NA,NA,NA,NA
"abriel",3,"C08B","POLYSACCHARIDES; DERIVATIVES THEREOF (polysaccharides containing less than six saccharide radicals attached to each other by glycosidic linkages C07H; fermentation or enzyme-using processes C12P0019000000; sugar industry C13; production of cellulose D21)","C08H","DERIVATIVES OF NATURAL MACROMOLECULAR COMPOUNDS (polysaccharides C08B; natural rubber C08C; natural resins or their derivatives C09F; working up pitch","Saint Joseph",97,NA,NA,NA,NA,NA,NA
"absoger",2,"B01D","SEPARATION (separating solids from solids by wet methods B03B","B01J","B03D","Les Barthes",82,NA,NA,NA,NA,NA,NA
"absolut system",1,"H02K","DYNAMO-ELECTRIC MACHINES (measuring instruments G01; dynamo-electric relays H01H0053000000; conversion of dc or ac input power into surge output power H02M0009000000; loudspeakers",NA,NA,"Seyssinet Pariset",38,NA,NA,NA,NA,NA,NA
"abyssnaut",5,"A01K","ANIMAL HUSBANDRY; CARE OF BIRDS",NA,NA,"Olliergues",63,NA,NA,NA,NA,NA,NA
"ac & co technologies",1,"A61H","PHYSICAL THERAPY APPARATUS",NA,NA,"Ardentes",36,NA,NA,NA,NA,NA,NA
"ac biotech",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Saint Arnoult en Yvelines",78,NA,NA,NA,NA,NA,NA
"ac&b",4,"B01F","MIXING",NA,NA,"Rosieres pres Troyes",10,NA,NA,NA,NA,NA,NA
"acb",1,"B21D","WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES",NA,NA,"Nantes",44,NA,NA,NA,NA,NA,NA
"acc ingenierie et maintenance",1,"H01Q","AERIALS (microwave radiators for near-field therapeutic treatment A61N0005040000; apparatus for testing aerials or for measuring aerial characteristics G01R; waveguides H01P; radiators or aerials for microwave heating H05B0006720000)",NA,NA,"Clermont Ferrand",63,NA,NA,NA,NA,NA,NA
"acc- la jonchere",1,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Nanterre",92,NA,NA,NA,NA,NA,NA
"accante",1,"B26D","CUTTING; DETAILS COMMON TO MACHINES FOR SEVERING",NA,NA,"Saint Leonard",62,NA,NA,NA,NA,NA,NA
"accexit",1,"B60B","VEHICLE WHEELS (making wheels or wheel parts by rolling B21H0001000000",NA,NA,"Lille",59,NA,NA,NA,NA,NA,NA
"acco",15,"H04B","TRANSMISSION (transmission systems for measured values","H03F","AMPLIFIERS (measuring, testing G01R; optical parametric amplifiers G02F; circuit arrangements with secondary emission tubes H01J0043300000; masers, lasers H01S; dynamo-electric amplifiers H02K; control of amplification H03G; coupling arrangements independent of the nature of the amplifier, voltage dividers H03H; amplifiers capable only of dealing with pulses H03K; repeater circuits in transmission lines H04B0003360000, H04B0003580000; application of speech amplifiers in telephonic communication H04M0001600000, H04M0003400000)","Louveciennes",78,NA,NA,NA,NA,NA,NA
"accoplas societe generale de fermetures",1,"E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS",NA,NA,"Marseille",13,NA,NA,NA,NA,NA,NA
"accprobat",3,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS","E04G","e.g. BAGS","Wasquehal",59,NA,NA,NA,NA,NA,NA
"accroche tableau",1,"A47G","HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000; knives B26B)",NA,NA,"Les Pins",61,NA,NA,NA,NA,NA,NA
"accuwatt",1,"H02J","CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY (power supply circuits for apparatus for measuring X-radiation",NA,NA,"Saclay",91,NA,NA,NA,NA,NA,NA
"ace development solution",1,"A61M","DEVICES FOR INTRODUCING MEDIA INTO",NA,NA,"Lissieu",69,NA,NA,NA,NA,NA,NA
"acebi",4,"B63B","SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING (air-cushion vehicles B60V; arrangements of vessel ventilation",NA,NA,"Saint Herblon",44,NA,NA,NA,NA,NA,NA
"acemma",1,"B65B","MACHINES",NA,NA,"Saint Georges de Reneins",69,NA,NA,NA,NA,NA,NA
"acep france",3,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","H04B","e.g. G01N0033480000)","Paris",75,NA,NA,NA,NA,NA,NA
"acerde",3,"H01J","ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS (spark-gaps H01T; arc lamps with consumable electrodes H05B; particle accelerators H05H)",NA,NA,"Sainte Helene du Lac",73,NA,NA,NA,NA,NA,NA
"acergy france",69,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES","E21B","EARTH OR ROCK DRILLING (mining, quarrying E21C; making shafts, driving galleries or tunnels E21D); OBTAINING OIL, GAS, WATER, SOLUBLE OR MELTABLE MATERIALS OR A SLURRY OF MINERALS FROM WELLS","Suresnes",92,NA,NA,NA,NA,NA,NA
"acft bureau d'etudes",4,"A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES","B07C","POSTAL SORTING; SORTING INDIVIDUAL ARTICLES","Barc",27,NA,NA,NA,NA,NA,NA
"achik m'sadi, nordine",2,"A45C","PURSES; LUGGAGE; HAND CARRIED BAGS (sacks or packs carried on the body A45F; containers in general B65D","B25H","e.g. portable flexible containers","Bondy",93,NA,NA,NA,NA,NA,NA
"acime frame",4,"A61G","TRANSPORT",NA,NA,"La Madeleine",59,NA,NA,NA,NA,NA,NA
"acinov",2,"B05B","SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES (spray-mixers with nozzles B01F0005200000; processes for applying liquids or other fluent materials to surfaces by spraying B05D)","B65G","TRANSPORT OR STORAGE DEVICES","Bressolles",13,NA,NA,NA,NA,NA,NA
"acis",2,"C02F","TREATMENT OF WATER","F21V","WASTE WATER","Saint Philbert de Grand Lieu",44,NA,NA,NA,NA,NA,NA
"acklio",6,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Cesson Sevigne",35,NA,NA,NA,NA,NA,NA
"acl sport nature",1,"F16G","BELTS",NA,NA,"Beignon",56,NA,NA,NA,NA,NA,NA
"acm",3,"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS","A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","Clichy",92,NA,NA,NA,NA,NA,NA
"aco",1,"E01B","PERMANENT WAY; PERMANENT-WAY TOOLS; MACHINES FOR MAKING RAILWAYS OF ALL KINDS (derailing or rerailing blocks on track",NA,NA,"Notre Dame de l Isle",27,NA,NA,NA,NA,NA,NA
"acobiom",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Grabels",34,NA,NA,NA,NA,NA,NA
"acome",3,"B60L","PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K0001000000","B65H","B60K0006200000; arrangements or mounting of electrical gearing in vehicles B60K0017120000","Paris",75,NA,NA,NA,NA,NA,NA
"acome societe cooperative et participative societe anonyme cooperative de production a capital variable",3,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets","H01B","CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING, OR DIELECTRIC PROPERTIES (selection for magnetic properties H01F0001000000; waveguides H01P; installation of cables or lines, or of combined optical and electric, cables or lines H02G)","Paris",75,NA,NA,NA,NA,NA,NA
"acome, societe cooperative et participative, societe anonyme cooperative de production a capital variable",3,"H01B","CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"acoustical beauty",4,"H03M","CODING",NA,NA,"Vaas",72,NA,NA,NA,NA,NA,NA
"acpv",1,"B60J","WINDOWS",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"acrylian",4,"A61L","METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION",NA,NA,"Strasbourg",67,NA,NA,NA,NA,NA,NA
"actemium",1,"C02F","TREATMENT OF WATER",NA,NA,"Montesson",78,NA,NA,NA,NA,NA,NA
"acti medias s.a.s",4,"B42C","BOOKBINDING (cutting or perforating machines","B42D","devices","Toulouse",31,NA,NA,NA,NA,NA,NA
"actia pcs",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Maisons Alfort",94,NA,NA,NA,NA,NA,NA
"actibac",2,"A01D","HARVESTING; MOWING","B02C","CRUSHING","Maizieres",54,NA,NA,NA,NA,NA,NA
"actility",4,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Lannion",22,NA,NA,NA,NA,NA,NA
"actimesure",1,"G01B","MEASURING LENGTH",NA,NA,"Parcay Meslay",37,NA,NA,NA,NA,NA,NA
"actini",3,"A61L","METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION","C02F","TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE (processes for making harmful chemical substances harmless, or less harmful, by effecting a chemical change in the substances A62D0003000000; separation, settling tanks or filter devices  B01D; special arrangements on waterborne vessels of installations for treating water, waste water or sewage, e.g. for producing fresh water, B63J; adding materials to water to prevent corrosion C23F; treating radioactively-contaminated liquids G21F0009040000)","Maxilly sur Leman",74,NA,NA,NA,NA,NA,NA
"action communication",7,"B64D","EQUIPMENT FOR FITTING IN OR TO AIRCRAFT; FLYING SUITS; PARACHUTES; ARRANGEMENTS OR MOUNTING OF POWER PLANTS OR PROPULSION TRANSMISSIONS","H01R","ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS (switches, fuses H01H; coupling devices of the waveguide type H01P0005000000; switching arrangements for the supply or distribution of electric power H02B; installations of electric cables or lines, or of combined optical and electric cables or lines, or of auxiliary apparatus H02G; printed means for providing electric connections to or between printed circuits H05K)","Cuers",83,NA,NA,NA,NA,NA,NA
