"firm_name","n_patents","ipc_main_code","ipc_main_desc","ipc_second_code","ipc_second_desc","addr_city_main","addr_dept_main"
"mcsmbs",4,"F21S","NON-PORTABLE LIGHTING DEVICES OR SYSTEMS THEREOF (burners F23D; electric aspects or elements","F21V","see section H","Paris","75"
"mdb texinov",24,"D04B","KNITTING",NA,NA,"Saint Didier de la Tour","38"
"mdoloris medical systems",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Lille","59"
"mdpw",1,"B60B","VEHICLE WHEELS (making wheels or wheel parts by rolling B21H0001000000",NA,NA,"Pau","64"
"meas france",24,"F01N","GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR MACHINES OR ENGINES IN GENERAL; GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR INTERNAL-COMBUSTION ENGINES (arrangements in connection with gas exhaust of propulsion units in vehicles B60K0013000000; combustion-air intake silencers specially adapted for",NA,NA,"Toulouse","31"
"mec",1,"C05C","NITROGENOUS FERTILISERS",NA,NA,"Belleau","54"
"meca theil",4,"B21D","WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES","E06B","RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING (operations of the kind involved in the manufacture of such products B21B","Lafeuillade en Vezie","15"
"mecachrome france",14,"B23C","MILLING (broaching B23D; broach-milling in making gears B23F; arrangements for copying or controlling B23Q)","B23D","PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL","Amboise","37"
"mecaflor",1,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Thouare sur Loire","44"
"mecagil - lebon",2,"B65F","GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE (disinfecting refuse A61L; refuse disintegrators B02C; sorting refuse B03B","B66C","B07B; handcarts for transporting refuse receptacles B62B; sack holders B65B0067000000; converting refuse into fertilisers C05F; converting refuse into solid fuels C10L; sewers","Champagne sur Seine","77"
"mecajet",1,"B60J","WINDOWS",NA,NA,"Ligny en Cambresis","59"
"mecanique et chaudronnerie de l'atlantique",1,"A01D","HARVESTING; MOWING",NA,NA,"Quimper","29"
"mecanokit",4,"B09B","DISPOSAL OF SOLID WASTE","B23D","PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL","Le Poire sur Vie","85"
"mecanumeric",1,"B23B","TURNING; BORING (using an electrode which takes the place of a tool B23H",NA,NA,"Marssac sur Tarn","81"
"mecaplast france",2,"B01D","SEPARATION (separating solids from solids by wet methods B03B","F01M","B03D","Clamart","92"
"mecaroute",2,"D03D","WOVEN FABRICS; METHODS OF WEAVING; LOOMS","H02G","INSTALLATION OF ELECTRIC CABLES OR LINES","Nanterre","92"
"mecatherm",6,"A21B","BAKERS OVENS; MACHINES OR EQUIPMENT FOR BAKING (domestic baking equipment A47J0037000000; combustion apparatus F23; domestic stoves or ranges being wholly or partly ovens F24B",NA,NA,"Barembach","67"
"mecatherm, societe anonyme",5,"A21B","BAKERS OVENS; MACHINES OR EQUIPMENT FOR BAKING (domestic baking equipment A47J0037000000; combustion apparatus F23; domestic stoves or ranges being wholly or partly ovens F24B",NA,NA,"Barembach","67"
"mecatraction",11,"H01R","ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS (switches","H02G","INSTALLATION OF ELECTRIC CABLES OR LINES, OR OF COMBINED OPTICAL AND ELECTRIC CABLES OR LINES (insulated conductors or cables with arrangements for facilitating mounting or securing H01B0007400000; distribution points incorporating switches H02B; guiding telephone cords H04M0001150000; cable ducts or mountings for telephone or telegraph exchange installations H04Q0001060000)","Arnac Pompadour","19"
"meccellis biotech",2,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO","A61L","OR PREVENTING COLLAPSING OF","La Rochelle","17"
"med in 3d",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Villeneuve d Ascq","59"
"med' inn' pharma",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Placey","25"
"medday",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Paris","75"
"medday pharmaceuticals",5,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Paris","75"
"medesis pharma",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Baillargues","34"
"medex",4,"A61M","DEVICES FOR INTRODUCING MEDIA INTO","A61J","CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE","Saint Priest","69"
"media relief",2,"B42D","BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH; MOVABLE-STRIP WRITING OR READING APPARATUS (book stands A47B; reading desks A47B0019000000; book rests A47B0023000000)","B44F","SPECIAL DESIGNS OR PICTURES","Paris","75"
"mediabong",1,"H04N","PICTORIAL COMMUNICATION",NA,NA,"Paris","75"
